,site_id,site_name,site_category,year,month,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,source_file,system_time_start,temporal_scale,period,has_any_missing_value,n_missing_values,row_was_missing,season,has_all_values,has_any_value
34,bio_corridor,Biodiversity Corridor,corridor,2016,11,27_2_0,0.057968018018018,0.4188166936096965,0.0939633783783783,-0.515536995822782,0.2963542957697904,0.0626723576070707,0.5739607953743356,-0.5598668849280289,0.3318878378378379,0.1900105790416467,0.0906998423423423,0.3924478104806336,0.2958098198198198,0.1829758558558558,median,2016-11-01,7.0,27.0,bio_corridor_aoi.geojson,1477958400000.0,monthly,baseline,False,0,False,other,True,True
35,bio_corridor,Biodiversity Corridor,corridor,2016,12,28_2_0,0.0431761420958989,0.4390718722254733,0.0754564999566862,-0.5648376689944975,0.3683507604314705,0.1007774770128786,0.642001139708624,-0.6233126592995083,0.3221895266135497,0.2077552231827626,0.072052803402021,0.4206981441741317,0.2707097712587435,0.1560904590817918,median,2016-12-01,15.0,28.0,bio_corridor_aoi.geojson,1480550400000.0,monthly,baseline,False,0,False,other,True,True
36,bio_corridor,Biodiversity Corridor,corridor,2017,1,29_2_0,0.048945930531787,0.3889794033656343,0.0774089198582192,-0.5461090580450204,0.3118571434034974,0.086130789395069,0.5819748035078096,-0.5945593856866442,0.3025759534647725,0.1785645589309066,0.0819453740295309,0.3757585021138923,0.2650130654362995,0.1703032155282316,median,2017-01-01,18.0,29.0,bio_corridor_aoi.geojson,1483228800000.0,monthly,baseline,False,0,False,other,True,True
37,bio_corridor,Biodiversity Corridor,corridor,2017,2,30_2_0,0.0516558596951319,0.3694426035642005,0.0828415259793476,-0.5702782873637636,0.2984285184255957,0.032823763594977,0.5355774051629019,-0.5910970281380314,0.3222074577938044,0.1729463627535164,0.0978709473856744,0.3660437128540857,0.3032421980003277,0.175330896574332,median,2017-02-01,14.0,30.0,bio_corridor_aoi.geojson,1485907200000.0,monthly,baseline,False,0,False,other,True,True
38,bio_corridor,Biodiversity Corridor,corridor,2017,3,31_2_0,0.0463931363724638,0.3540010351104192,0.0745675423723208,-0.5679802230426398,0.3018888391685248,0.0577891660739959,0.5638343170411777,-0.5938170833543868,0.2858198363008537,0.1619415502994608,0.0843790906598412,0.3508376641612317,0.2696795912090926,0.1694706188412151,median,2017-03-01,40.0,31.0,bio_corridor_aoi.geojson,1488326400000.0,monthly,baseline,False,0,False,wet,True,True
39,bio_corridor,Biodiversity Corridor,corridor,2017,4,32_2_0,0.0709388410021863,0.3457692738435146,0.102978845525595,-0.5471804756917871,0.1737300313999587,-0.0500793137609583,0.4755101888634923,-0.5068902326333287,0.3136807453572234,0.1505442175460259,0.1129433618978211,0.3257662435993959,0.3523593446083483,0.2273160731786998,median,2017-04-01,24.0,32.0,bio_corridor_aoi.geojson,1491004800000.0,monthly,baseline,False,0,False,wet,True,True
40,bio_corridor,Biodiversity Corridor,corridor,2017,5,33_2_0,,,,,,,,,,,,,,,median,2017-05-01,42.0,33.0,bio_corridor_aoi.geojson,1493596800000.0,monthly,baseline,True,14,False,wet,False,False
41,bio_corridor,Biodiversity Corridor,corridor,2017,6,34_2_0,0.0321794378158704,0.5244631825916606,0.06246369075531,-0.5191802659534313,0.5573533564008291,0.2786648485068463,0.7511056975685568,-0.6916865007207978,0.341444633170658,0.2577633190053293,0.0491476921562839,0.4921520431541787,0.1961057387820791,0.1004398142841428,median,2017-06-01,23.0,34.0,bio_corridor_aoi.geojson,1496275200000.0,monthly,baseline,False,0,False,other,True,True
42,bio_corridor,Biodiversity Corridor,corridor,2017,7,35_2_0,,,,,,,,,,,,,,,median,2017-07-01,24.0,35.0,bio_corridor_aoi.geojson,1498867200000.0,monthly,baseline,True,14,False,dry,False,False
43,bio_corridor,Biodiversity Corridor,corridor,2017,8,36_2_0,,,,,,,,,,,,,,,median,2017-08-01,16.0,36.0,bio_corridor_aoi.geojson,1501545600000.0,monthly,baseline,True,14,False,dry,False,False
