system:index,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,day,image_count,image_id,month,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo
3_2,0.4242348150267449,-0.525185567256223,0.3619621188833224,0.10864577376321939,0.45621285004182155,0.6387343611795964,-0.5875445192616092,0.18258036459658003,0.3842190977570515,median,2021-01-01,1,99,3,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
3_3,0.346583309908247,-0.5324024931865207,0.23223961556026534,0.012004061651427223,0.3827527609248388,0.5279597257960235,-0.5243670133163989,0.14426969883117965,0.3183382172580797,median,2021-01-01,1,99,3,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1609459200000,annual,2021,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
3_4,0.27182292044871237,-0.5387991528836616,0.16380899042069552,-0.05458339079245628,0.31115202863921715,0.4458541023143754,-0.4730830698359426,0.10021447167271165,0.24812740158888485,median,2021-01-01,1,99,3,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1609459200000,annual,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
3_5,0.3254695486865045,-0.5386809541449475,0.1786517481225948,-0.02821977683206237,0.36570124672422044,0.49989649612813647,-0.504964521473616,0.13308099266500706,0.3032196086368547,median,2021-01-01,1,99,3,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1609459200000,annual,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
4_0,0.37285029740574455,-0.5021150279432075,0.2981659442621654,0.0640800175712345,0.39377121668495496,0.5480547680159445,-0.5327812826365732,0.1550174981664519,0.3357320470153725,median,2022-01-01,1,62,4,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1640995200000,annual,2022,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
4_1,0.47230873486028,-0.4890046926802408,0.44784323678607296,0.18201801171624304,0.48995044243016606,0.6644454431937821,-0.6066899158782965,0.20467486025627488,0.4151460097379102,median,2022-01-01,1,62,4,1,reference,buda,Buda,buda_aoi.geojson,1640995200000,annual,2022,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
4_2,0.4481886055380074,-0.49220489539977125,0.3936252955631492,0.13938854804074552,0.4623077667193436,0.6415866555275757,-0.5792393582218577,0.188895727089285,0.3941429408123507,median,2022-01-01,1,62,4,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1640995200000,annual,2022,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
4_3,0.3669331261482932,-0.4997662173772472,0.2639021225866567,0.04365762781878724,0.3823897179380207,0.5249334546800748,-0.5130890568407964,0.15024719576266723,0.32496724147794787,median,2022-01-01,1,62,4,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1640995200000,annual,2022,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
4_4,0.21202664779194663,-0.5254404855651282,0.05783039058553737,-0.1130158547697232,0.2644778189438144,0.3728761167040809,-0.4405419673079468,0.07919020113878167,0.2083881609555035,median,2022-01-01,1,62,4,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1640995200000,annual,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
4_5,0.3264692100418055,-0.5104831092839494,0.20275846804738284,-0.003668845198600807,0.35766622938557896,0.4889307348540616,-0.4852890505639644,0.12871464818319922,0.29629630578869764,median,2022-01-01,1,62,4,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1640995200000,annual,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
