,system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
33,5_1,0.1634822005303559,0.0702940874835247,0.0353917599748128,0.0530920465260766,0.030777374839437,0.0835957668729977,0.2572146238320549,0.331445404912128,0.3331709760763735,0.3693646342306706,0.5986435537417131,-0.5010631247607649,0.6515923335541073,0.3439418641514911,0.6259024162886355,0.8220603706763532,-0.7149424158580024,0.274908521355347,0.5209031164570916,median,2024-01-01,77,5,reference,buda,Buda,buda_aoi.geojson,1704067200000,annual,2024,current,False,0
34,6_1,0.162661622273048,0.0692075962015979,0.0315234132289245,0.0506134217311678,0.0290658331883988,0.0873530157817979,0.2517162902036134,0.3204599552990516,0.3235633281436286,0.357870344222979,0.5793778242542186,-0.5134394066599234,0.6478583886143746,0.3367153393627022,0.6031423055687898,0.826995747086365,-0.7207776967181759,0.2676513434333573,0.5126896995033842,median,2025-01-01,116,6,reference,buda,Buda,buda_aoi.geojson,1735689600000,annual,2025,current,False,0
35,0_2,0.2059142186390527,0.1120586061434546,0.0451448107723567,0.0676629950938583,0.0518066043680857,0.1056861011996007,0.2419728048999833,0.2957201482732095,0.299720232645635,0.3310035797472251,0.4753891415637697,-0.4885771008747904,0.4681699579589334,0.200334352841633,0.5098006582414055,0.6915652542466706,-0.6193613425036839,0.2085738367818544,0.4228993744185217,median,2019-01-01,79,0,reference,gogoni,Gogoni,gogoni_aoi.geojson,1546300800000,annual,2019,current,False,0
36,1_2,0.1993513851939226,0.1032567401539098,0.041836852607333,0.0635390975698685,0.0457798151081311,0.1001538739684404,0.2435050489788495,0.2997158982103948,0.3035537384057644,0.3350111057853027,0.5041933644144299,-0.5032929485335057,0.5087966600618418,0.2258876425571974,0.537523003494357,0.7319360693538545,-0.6430760995632212,0.2229210131200859,0.4470614162816821,median,2020-01-01,93,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1577836800000,annual,2020,current,False,0
37,2_2,0.219651236487804,0.1248208502535636,0.0425120549694933,0.064964746050384,0.0545618482894109,0.1062387420274638,0.2266873779210689,0.2752859924370534,0.281683898055083,0.3117041090999469,0.4400759488838725,-0.5298147698655512,0.4129496348902825,0.1458051284150302,0.4874114768402021,0.6744937902794157,-0.6168649596783194,0.1906574266887333,0.3996601903118342,median,2021-01-01,103,2,reference,gogoni,Gogoni,gogoni_aoi.geojson,1609459200000,annual,2021,current,False,0
38,3_2,0.2178633502122796,0.1235091785191962,0.0504018535155471,0.0720353908288668,0.057931096850438,0.1127699857095737,0.2375727117801402,0.2872983347771036,0.2936659044139211,0.3234108087301017,0.4612173795041975,-0.4914586206593604,0.43944151807719,0.1749304824653819,0.4893274655361914,0.6716394399795691,-0.6039740023888991,0.1962787258002129,0.4077682778529554,median,2022-01-01,79,3,reference,gogoni,Gogoni,gogoni_aoi.geojson,1640995200000,annual,2022,current,False,0
39,4_2,0.2073246394702271,0.1103216736936106,0.044900529821334,0.0664537134800846,0.0497441965116542,0.1054097778066383,0.2473358960146137,0.3032805181149666,0.3071572371501089,0.3395157461570485,0.5025338321707732,-0.5057942550143344,0.4928145975049703,0.2156635027113742,0.5285437075289372,0.7174009823813261,-0.6354293270519183,0.2202252898502599,0.4425257762894914,median,2023-01-01,85,4,reference,gogoni,Gogoni,gogoni_aoi.geojson,1672531200000,annual,2023,current,False,0
40,5_2,0.2009032495767985,0.1057274847243735,0.0418543526441527,0.0639194614223214,0.0472493461750793,0.1015872753620473,0.2498665139661906,0.3083466693310581,0.3123393180628396,0.3440764460353425,0.515879195252382,-0.504797419069319,0.5062999949008867,0.2277805321210455,0.5348031551185096,0.7276462230047642,-0.6468468640527215,0.2297415969220618,0.4549594857186455,median,2024-01-01,77,5,reference,gogoni,Gogoni,gogoni_aoi.geojson,1704067200000,annual,2024,current,False,0
41,6_2,0.211782729917645,0.115018337445959,0.0439670292159323,0.0663951933157225,0.0517907001996286,0.1106675421672443,0.2437027237944514,0.2948840004132715,0.3002087881210053,0.3313420740576094,0.482376282102352,-0.5106662001664946,0.469975626045456,0.1943813657527715,0.5001385271287576,0.7034741055019748,-0.6312070411278631,0.2119594332024615,0.4303456167494189,median,2025-01-01,116,6,reference,gogoni,Gogoni,gogoni_aoi.geojson,1735689600000,annual,2025,current,False,0
42,0_3,0.1913791187152078,0.0921721105016338,0.0427976727330891,0.0638343191668642,0.0419707526733914,0.0996482625046839,0.2487636041010433,0.3048450051135145,0.3071610535883988,0.3396304255786636,0.5160148522068755,-0.479608478387618,0.5381838596545758,0.2438030176707838,0.5416388435158561,0.7428068804656623,-0.6449444331385663,0.226345685269634,0.4519073599144647,median,2019-01-01,79,0,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1546300800000,annual,2019,current,False,0
43,1_3,0.1859239276609607,0.0852820778672164,0.0409461494105109,0.0616318141439083,0.0376510886730378,0.0962778386925272,0.2618052810489704,0.3232922350484021,0.3243737528262724,0.3581965069448868,0.5642384083583393,-0.4866732025707705,0.584044211700235,0.277029410576449,0.5695501986162519,0.7787877526949114,-0.6662030755749053,0.2516884007905787,0.4873200657331466,median,2020-01-01,93,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1577836800000,annual,2020,current,False,0
44,2_3,0.1978144401550248,0.1018549999034914,0.039756261041691,0.0629084216543631,0.0456771437944965,0.1022825746135062,0.2331206390151942,0.2823022547612005,0.2870917382849957,0.3170969292389824,0.4702470478107461,-0.5058736305627534,0.4813667819995852,0.1928786620881064,0.5062395987838068,0.7109332942602412,-0.6284280387215202,0.2033421847540599,0.4203637415135613,median,2021-01-01,103,2,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1609459200000,annual,2021,current,False,0
45,3_3,0.2007771681785272,0.1004800712753849,0.0467017972763375,0.0669964347676655,0.0488855651741681,0.1056353016644199,0.2453765194915594,0.2964355608182182,0.3015478744411561,0.3310886285168646,0.49702811565706,-0.4759458036424003,0.5122774870371992,0.2187032495476558,0.5093946397216542,0.7018402397522301,-0.6166741585396844,0.2098770984314656,0.4288799650588843,median,2022-01-01,79,3,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1640995200000,annual,2022,current,False,0
46,4_3,0.1920540366621055,0.0894265617199908,0.0429774022562651,0.0636339671083985,0.0410769878695578,0.099694817505229,0.2592272220858636,0.3170426542931689,0.3172805782594635,0.3516458829435425,0.542572139039545,-0.4884163385983185,0.5734596630824789,0.267867347497887,0.5588423034610681,0.7599563010836194,-0.6553722843885338,0.2371261039151405,0.4677861965904367,median,2023-01-01,85,4,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1672531200000,annual,2023,current,False,0
47,5_3,0.1873383228536744,0.0871039569866831,0.0413870594510978,0.061733294401752,0.0395789354865119,0.0975533861305415,0.2590581193184562,0.320602414217198,0.3227917407254357,0.3560998421383579,0.5592389726119175,-0.4935644392335887,0.5770031887191082,0.2734468995273378,0.5597265772631301,0.7645008577791387,-0.6616873525730381,0.2489273546792081,0.4832150344433891,median,2024-01-01,77,5,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1704067200000,annual,2024,current,False,0
48,6_3,0.1949231830933543,0.0928612945187703,0.0418209404618167,0.0629338592211839,0.0419860788176995,0.105607160079264,0.2561006775997553,0.3104474209315887,0.313551699595122,0.346355025682992,0.5348934749456272,-0.4952937760592628,0.5512301614161664,0.2451656295058211,0.5262383236189024,0.7516560811392774,-0.6531680537156987,0.2347663571852691,0.4648463657890944,median,2025-01-01,116,6,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1735689600000,annual,2025,current,False,0
