,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
20,8_5,0.0735870948985504,0.2774323883156446,0.1039871958019025,-0.561820199964136,0.0108503114632433,-0.1344480028261445,0.4005030954472142,-0.4635200653822504,0.2899437205479227,0.115471462045031,0.1206775130886873,0.2671921101207122,0.375219460053692,0.2868183775696551,median,2022-01-01,532,8,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1640995200000,annual,2022,current,False,0
21,9_5,0.0490242528373471,0.3658775399481493,0.0846984937275433,-0.5642236222924768,0.2519947671989827,0.0124584720268416,0.5480355159024112,-0.5703786922810677,0.3077839493068235,0.1703862667576818,0.0900130873138267,0.3622613915809337,0.3054868247632442,0.1921181228150897,median,2023-01-01,756,9,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1672531200000,annual,2023,current,False,0
22,10_5,0.0334753573120513,0.4205594212115511,0.0681679128149686,-0.5544306790038693,0.4046981547507889,0.1167170333932812,0.660129632260342,-0.6264336904589886,0.3022154974510974,0.1982003840611019,0.0601081427628567,0.4123704900192811,0.2339815742056705,0.1252064418611241,median,2024-01-01,778,10,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1704067200000,annual,2024,current,False,0
23,11_5,0.0422537092655095,0.3769984418285627,0.0732547239575864,-0.5720983384134977,0.3018899445221353,0.0264212431511712,0.5933358534450488,-0.5896158091048679,0.2865004683661495,0.1710671941504893,0.0733815991433736,0.3717597018754597,0.2728175502243226,0.1570138438747104,median,2025-01-01,456,11,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1735689600000,annual,2025,current,False,0
24,0_6,0.0445203267490525,0.3737208066965811,0.0704599473427534,-0.5427696840059646,0.3047589039625842,0.0700995172920705,0.5735647075588939,-0.5837756994764416,0.2789987948120501,0.1665273249458109,0.0735219058289532,0.3593533366397818,0.2412004021011899,0.1479606701049,median,2014-01-01,17,0,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1388534400000,annual,2014,baseline,False,0
25,1_6,0.0476445116248923,0.4373560755671212,0.0779277344654215,-0.5481235417577099,0.3486966487290369,0.0911885878775303,0.6211828834804055,-0.6081775815552295,0.3212222113684131,0.2012195823429931,0.0747112452662475,0.4117617489080528,0.2690570888232517,0.1563092901917575,median,2015-01-01,18,1,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1420070400000,annual,2015,baseline,False,0
26,2_6,0.0439844506529562,0.3339036935444728,0.0703036197075801,-0.5731903592167072,0.2625204985668045,0.0196600134981013,0.5435400717656144,-0.5811726129270811,0.267685614084857,0.1460019759716335,0.0780592387649134,0.3321718532098639,0.2625060471365232,0.1597884388337631,median,2016-01-01,247,2,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1451606400000,annual,2016,baseline,False,0
27,3_6,0.0478029069806707,0.336696673145496,0.0748931456242486,-0.5781222492126944,0.2210033742881038,-0.0090647588155346,0.5282711938539641,-0.5697344274682166,0.2754631441384249,0.1476455211162552,0.0847143976334877,0.3313034626056954,0.2827221213850578,0.1787338671605904,median,2017-01-01,312,3,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1483228800000,annual,2017,baseline,False,0
28,4_6,0.0366884861679103,0.4208986911081901,0.0655839049555824,-0.562443076598716,0.381585937457481,0.1110450153289051,0.6567919448301586,-0.6323757823342149,0.2908793455775245,0.192806895369022,0.0602300490553889,0.4065658452290441,0.2336533631150651,0.1312736463549519,median,2018-01-01,670,4,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1514764800000,annual,2018,current,False,0
29,5_6,0.0377180564631033,0.4135671800381517,0.0661438105422867,-0.5747613864293339,0.3636285076655323,0.0862822140602434,0.6300240323130035,-0.6299185419106617,0.2985222940645847,0.190728853223972,0.0666924620769012,0.4004294241902999,0.2501500239061349,0.1394985332789335,median,2019-01-01,705,5,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1546300800000,annual,2019,current,False,0
30,6_6,0.0354644912615108,0.4535728493986168,0.0649275043270103,-0.5541743902867139,0.4438258510156813,0.1638498783693501,0.6846720176625681,-0.6503681465341937,0.3072159254702336,0.2131614654473446,0.0573983982889581,0.434630556412078,0.2247767326369742,0.1200735473835532,median,2020-01-01,653,6,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1577836800000,annual,2020,current,False,0
31,7_6,0.0431555130734682,0.3448291356644509,0.0699298541407019,-0.5815731315141816,0.2625060980327121,0.0108610177983235,0.5521475983756475,-0.5891758285634867,0.2747124860149111,0.151553764091327,0.0783039134342915,0.3410617478650846,0.2696755158147049,0.1610740572217245,median,2021-01-01,75,7,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1609459200000,annual,2021,current,False,0
32,8_6,0.0468777634695133,0.3761582581554508,0.0756443057180287,-0.5733762872387909,0.2756112034588862,0.0248879975384138,0.5731979194617892,-0.5887667919510899,0.2914398295333203,0.1694545939154313,0.078645599358678,0.3652694170711172,0.2777735752740439,0.1672012048692017,median,2022-01-01,532,8,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1640995200000,annual,2022,current,False,0
33,9_6,0.0472618207868624,0.2812091212257718,0.0783477263671917,-0.5781803727449194,0.2039392331747494,-0.0478609325417792,0.4594452580708457,-0.5459717243222361,0.2696986703407738,0.1239411750717685,0.0981008411772019,0.2844082832478135,0.29178329981162,0.1768462725554382,median,2023-01-01,756,9,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1672531200000,annual,2023,current,False,0
