,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo,period,has_any_missing_value,n_missing_values
20,8_5,7.358709489855017e-06,4.070990782538176e-05,1.0398719580190238e-05,-0.561820199964136,0.0108503114632433,-0.1344480028261445,0.4005030954472142,-0.4635200653822504,2.899437205479237e-05,1.1547146204503107e-05,1.2067751308868735e-05,4.885012523114209e-05,3.752194600536916e-05,2.8681837756965425e-05,median,2022-01-01,532,8,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1640995200000,annual,2022,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
21,9_5,4.902425283734705e-06,5.425997340187461e-05,8.469849372754349e-06,-0.5642236222924768,0.2519947671989827,0.0124584720268416,0.5480355159024112,-0.5703786922810677,3.077839493068229e-05,1.7038626675768256e-05,9.001308731382738e-06,6.510991638440102e-05,3.0548682476324375e-05,1.921181228150894e-05,median,2023-01-01,756,9,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1672531200000,annual,2023,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
22,10_5,3.347535731205144e-06,5.936081306556666e-05,6.816791281496874e-06,-0.5544306790038693,0.4046981547507889,0.1167170333932812,0.660129632260342,-0.6264336904589886,3.0221549745109736e-05,1.982003840611028e-05,6.010814276285696e-06,7.123070838779456e-05,2.339815742056692e-05,1.2520644186112451e-05,median,2024-01-01,778,10,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1704067200000,annual,2024,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
23,11_5,4.225370926550953e-06,5.33195400628318e-05,7.325472395758647e-06,-0.5720983384134977,0.3018899445221353,0.0264212431511712,0.5933358534450488,-0.5896158091048679,2.8650046836614985e-05,1.710671941504894e-05,7.338159914337398e-06,6.398148283485315e-05,2.7281755022432204e-05,1.5701384387471073e-05,median,2025-01-01,456,11,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1735689600000,annual,2025,"{""type"":""Polygon"",""coordinates"":[[[39.342734898312756,-4.537010622093643],[39.35546260641106,-4.540027347489405],[39.357330103084635,-4.540056078207458],[39.35907309997995,-4.539902847711167],[39.362338824932195,-4.539021772357483],[39.366437740708,-4.537958735789452],[39.36557581916636,-4.5232103005212885],[39.362855977857166,-4.520490459212095],[39.35892944638968,-4.519772191260722],[39.34107809357159,-4.531982746434041],[39.342734898312756,-4.537010622093643]]]}",current,False,0
24,0_6,4.452032674905252e-06,5.16543783410484e-05,7.045994734275338e-06,-0.5427696840059646,0.3047589039625842,0.0700995172920705,0.5735647075588939,-0.5837756994764416,2.7899879481205004e-05,1.665273249458109e-05,7.35219058289532e-06,6.198311735355148e-05,2.4120040210118973e-05,1.479606701049002e-05,median,2014-01-01,17,0,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1388534400000,annual,2014,"{""type"":""Polygon"",""coordinates"":[[[39.45037213927877,-4.373561567079552],[39.456367282446216,-4.367872884904691],[39.45864658607857,-4.359387746172489],[39.45422205549812,-4.355786829509615],[39.45272805815927,-4.3570892887281],[39.45071690789543,-4.364750813542728],[39.449088833872324,-4.372412338357358],[39.45037213927877,-4.373561567079552]]]}",baseline,False,0
25,1_6,4.764451162489234e-06,6.162520815279159e-05,7.792773446542157e-06,-0.5481235417577099,0.3486966487290369,0.0911885878775303,0.6211828834804055,-0.6081775815552295,3.212222113684132e-05,2.0121958234299288e-05,7.471124526624753e-06,7.394739022105962e-05,2.6905708882325152e-05,1.5630929019175744e-05,median,2015-01-01,18,1,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1420070400000,annual,2015,"{""type"":""Polygon"",""coordinates"":[[[39.45037213927877,-4.373561567079552],[39.456367282446216,-4.367872884904691],[39.45864658607857,-4.359387746172489],[39.45422205549812,-4.355786829509615],[39.45272805815927,-4.3570892887281],[39.45071690789543,-4.364750813542728],[39.449088833872324,-4.372412338357358],[39.45037213927877,-4.373561567079552]]]}",baseline,False,0
26,2_6,4.398445065295623e-06,4.692735104281722e-05,7.030361970758008e-06,-0.5731903592167072,0.2625204985668045,0.0196600134981013,0.5435400717656144,-0.5811726129270811,2.6768561408485708e-05,1.4600197597163372e-05,7.805923876491344e-06,5.6311188435163554e-05,2.6250604713652305e-05,1.5978843883376327e-05,median,2016-01-01,247,2,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1451606400000,annual,2016,"{""type"":""Polygon"",""coordinates"":[[[39.45037213927877,-4.373561567079552],[39.456367282446216,-4.367872884904691],[39.45864658607857,-4.359387746172489],[39.45422205549812,-4.355786829509615],[39.45272805815927,-4.3570892887281],[39.45071690789543,-4.364750813542728],[39.449088833872324,-4.372412338357358],[39.45037213927877,-4.373561567079552]]]}",baseline,False,0
27,3_6,4.78029069806708e-06,4.760698176369228e-05,7.489314562424868e-06,-0.5781222492126944,0.2210033742881038,-0.0090647588155346,0.5282711938539641,-0.5697344274682166,2.7546314413842465e-05,1.4764552111625549e-05,8.471439763348774e-06,5.712661281817936e-05,2.827221213850581e-05,1.7873386716059067e-05,median,2017-01-01,312,3,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1483228800000,annual,2017,"{""type"":""Polygon"",""coordinates"":[[[39.45037213927877,-4.373561567079552],[39.456367282446216,-4.367872884904691],[39.45864658607857,-4.359387746172489],[39.45422205549812,-4.355786829509615],[39.45272805815927,-4.3570892887281],[39.45071690789543,-4.364750813542728],[39.449088833872324,-4.372412338357358],[39.45037213927877,-4.373561567079552]]]}",baseline,False,0
28,4_6,3.668848616791032e-06,5.773786226396533e-05,6.558390495558243e-06,-0.562443076598716,0.381585937457481,0.1110450153289051,0.6567919448301586,-0.6323757823342149,2.908793455775244e-05,1.9280689536902208e-05,6.023004905538894e-06,6.92831327162104e-05,2.3365336311506507e-05,1.31273646354952e-05,median,2018-01-01,670,4,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1514764800000,annual,2018,"{""type"":""Polygon"",""coordinates"":[[[39.45037213927877,-4.373561567079552],[39.456367282446216,-4.367872884904691],[39.45864658607857,-4.359387746172489],[39.45422205549812,-4.355786829509615],[39.45272805815927,-4.3570892887281],[39.45071690789543,-4.364750813542728],[39.449088833872324,-4.372412338357358],[39.45037213927877,-4.373561567079552]]]}",current,False,0
29,5_6,3.77180564631033e-06,5.7898325575389904e-05,6.614381054228677e-06,-0.5747613864293339,0.3636285076655323,0.0862822140602434,0.6300240323130035,-0.6299185419106617,2.985222940645849e-05,1.9072885322397213e-05,6.669246207690121e-06,6.947566476830756e-05,2.5015002390613508e-05,1.3949853327893364e-05,median,2019-01-01,705,5,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1546300800000,annual,2019,"{""type"":""Polygon"",""coordinates"":[[[39.45037213927877,-4.373561567079552],[39.456367282446216,-4.367872884904691],[39.45864658607857,-4.359387746172489],[39.45422205549812,-4.355786829509615],[39.45272805815927,-4.3570892887281],[39.45071690789543,-4.364750813542728],[39.449088833872324,-4.372412338357358],[39.45037213927877,-4.373561567079552]]]}",current,False,0
