,site_id,site_name,site_category,year,season,expected_months_in_season,observed_rows_in_season,missing_rows_in_season,min_valid_months_required,NIRv_n_valid_months,NIRv,EVI_n_valid_months,EVI,NDVI_n_valid_months,NDVI
66,buda,Buda,reference,2024,dry,4,4,0,3,3,0.2592140907401575,3,0.5821635727690198,3,0.8059202296255722
67,buda,Buda,reference,2024,wet,3,3,0,2,3,0.2786762063656491,3,0.5920542450717732,3,0.8352303190178173
68,buda,Buda,reference,2025,dry,4,4,0,3,4,0.2411894483734972,4,0.5645772600478776,4,0.7822554257396024
69,buda,Buda,reference,2025,wet,3,3,0,2,3,0.2655866900052876,3,0.5714667048408929,3,0.8245730456666358
70,gogoni,Gogoni,reference,2019,dry,4,4,0,3,4,0.21312205587050395,4,0.4894571923518972,4,0.714524549428836
71,gogoni,Gogoni,reference,2019,wet,3,3,0,2,3,0.19954216391369306,3,0.4532885051502733,3,0.6417213966165097
72,gogoni,Gogoni,reference,2020,dry,4,4,0,3,4,0.21125563167897818,4,0.48105216519218963,4,0.7105565685459089
73,gogoni,Gogoni,reference,2020,wet,3,3,0,2,2,0.23661572165589145,2,0.5194896447672703,2,0.763188748329034
74,gogoni,Gogoni,reference,2021,dry,4,4,0,3,4,0.19884546153600502,4,0.45826659649643303,4,0.6920199635062062
75,gogoni,Gogoni,reference,2021,wet,3,3,0,2,3,0.21697494627789973,3,0.47963142290136024,3,0.7054003167006501
76,gogoni,Gogoni,reference,2022,dry,4,4,0,3,4,0.22777535761616874,4,0.5171086901770202,4,0.7240136697152117
77,gogoni,Gogoni,reference,2022,wet,3,3,0,2,3,0.1938019176808513,3,0.4464887246141569,3,0.6323914500495568
78,gogoni,Gogoni,reference,2023,dry,4,4,0,3,4,0.22276371467975356,4,0.5125207467855568,4,0.7206106953968199
79,gogoni,Gogoni,reference,2023,wet,3,3,0,2,3,0.21369028193106201,3,0.4749177834783129,3,0.7050583832128422
80,gogoni,Gogoni,reference,2024,dry,4,4,0,3,3,0.21428667568552937,3,0.49299933525584044,3,0.706167400185536
81,gogoni,Gogoni,reference,2024,wet,3,3,0,2,3,0.24052165776788548,3,0.5231097980182091,3,0.741667780285098
82,gogoni,Gogoni,reference,2025,dry,4,4,0,3,4,0.2254720410278125,4,0.5228315282179122,4,0.7086489576901772
83,gogoni,Gogoni,reference,2025,wet,3,3,0,2,3,0.228411280353485,3,0.5070609029174438,3,0.7236263267380704
84,shimba_hills,Shimba Hills,reference,2019,dry,4,4,0,3,4,0.23919318582667431,4,0.5522259472074575,4,0.7582132322651095
85,shimba_hills,Shimba Hills,reference,2019,wet,3,3,0,2,3,0.2034747300009846,3,0.4651608673336769,3,0.6951146960765001
86,shimba_hills,Shimba Hills,reference,2020,dry,4,4,0,3,4,0.23217671125548317,4,0.5347070350000881,4,0.753738116783883
87,shimba_hills,Shimba Hills,reference,2020,wet,3,3,0,2,3,0.2574241821396807,3,0.5599210795633287,3,0.7951413191504706
88,shimba_hills,Shimba Hills,reference,2021,dry,4,4,0,3,4,0.2109439155815245,4,0.4958077786017578,4,0.7179935543180729
89,shimba_hills,Shimba Hills,reference,2021,wet,3,3,0,2,3,0.21703862019260137,3,0.4851100410369213,3,0.7216271952595111
90,shimba_hills,Shimba Hills,reference,2022,dry,4,4,0,3,4,0.2360733367111557,4,0.5415685415961533,4,0.7538554022626026
91,shimba_hills,Shimba Hills,reference,2022,wet,3,3,0,2,3,0.18941440858064296,3,0.45329790054647434,3,0.6600553662104319
92,shimba_hills,Shimba Hills,reference,2023,dry,4,4,0,3,4,0.24529324564943955,4,0.5686015291549762,4,0.750457413792941
93,shimba_hills,Shimba Hills,reference,2023,wet,3,3,0,2,3,0.20814100386847154,3,0.4788984775254339,3,0.7053953563529743
94,shimba_hills,Shimba Hills,reference,2024,dry,4,4,0,3,4,0.22827187636886323,4,0.5369780863017151,4,0.7255598181877573
95,shimba_hills,Shimba Hills,reference,2024,wet,3,3,0,2,3,0.2643532612206461,3,0.5736214367106,3,0.7996751283800835
96,shimba_hills,Shimba Hills,reference,2025,dry,4,4,0,3,4,0.22963671256687157,4,0.538970955063991,4,0.7305996105807657
97,shimba_hills,Shimba Hills,reference,2025,wet,3,3,0,2,3,0.2365654239951868,3,0.5287939043819236,3,0.7574637745166891
